,Actual Mixture,Fructose,HMF,Levulinic Acid,Formic Acid,Sum
1587.153,1.12E-04,-2.30E-04,3.35E-04,3.76E-05,7.89E-04,9.32E-04
1589.082,-1.87E-04,-5.79E-04,1.44E-04,-4.52E-05,0.001038722,5.59E-04
1591.01,2.68E-04,-3.85E-04,-2.27E-04,-1.31E-04,0.001111059,3.69E-04
1592.939,5.25E-04,2.36E-04,-1.62E-04,-8.58E-05,9.22E-04,9.10E-04
1594.867,-1.38E-04,3.13E-04,-5.63E-05,-6.22E-05,7.17E-04,9.12E-04
1596.796,-5.21E-04,3.03E-04,5.39E-05,-1.42E-04,6.45E-04,8.61E-04
1598.724,-1.15E-04,3.13E-04,1.38E-04,1.73E-04,6.97E-04,0.00132
1600.653,3.28E-05,-3.53E-04,4.25E-04,6.87E-04,0.001087998,0.00185
1602.581,2.08E-04,-5.41E-04,5.81E-04,3.41E-04,0.001139122,0.00152
1604.51,4.19E-04,-3.96E-04,3.12E-04,2.96E-04,0.001043349,0.00125
1606.438,5.56E-04,-1.34E-04,8.90E-04,4.58E-04,8.75E-04,0.00209
1608.367,8.74E-04,-4.79E-05,0.001321446,6.78E-04,8.93E-04,0.00284
1610.295,0.001566217,8.96E-05,0.001783095,5.49E-04,9.02E-04,0.00332
1612.224,0.002060379,5.61E-04,0.001833393,5.11E-04,5.35E-04,0.00344
1614.152,0.002678237,4.06E-04,0.00171351,9.88E-04,9.23E-04,0.00403
1616.081,0.003213689,-2.77E-05,0.001987463,0.00116373,0.001497523,0.00462
1618.009,0.003447877,-1.85E-04,0.002511636,9.23E-04,0.001191856,0.00444
1619.938,0.004293309,-5.66E-04,0.002993237,0.001282076,0.001275681,0.00499
